pair,scheme,n,acc,majority_baseline,above_baseline_pp
Top Error 1 vs Top Error 2,cell-only,788,0.5532994923857868,0.699238578680203,-14.593908629441621
Top Error 1 vs Top Error 2,color-aware (winner),491,0.7046843177189409,0.7209775967413442,-1.6293279022403295
Top Error 1 vs Top Error 2,color-aware (weight),514,0.6945525291828794,0.7276264591439688,-3.3073929961089488
Top Error 1 vs Top Error 2,color-aware (late),333,0.6696696696696697,0.7147147147147147,-4.504504504504503
Top Error 1 vs Top Error 3,cell-only,503,0.7335984095427436,0.8210735586481114,-8.747514910536779
Top Error 1 vs Top Error 3,color-aware (winner),402,0.8084577114427861,0.8407960199004975,-3.233830845771135
Top Error 1 vs Top Error 3,color-aware (weight),425,0.788235294117647,0.84,-5.1764705882352935
Top Error 1 vs Top Error 3,color-aware (late),298,0.6946308724832215,0.8221476510067114,-12.751677852348987
Top Error 2 vs Top Error 3,cell-only,225,0.5911111111111111,0.5866666666666667,0.4444444444444473
Top Error 2 vs Top Error 3,color-aware (winner),163,0.6319018404907976,0.558282208588957,7.361963190184051
Top Error 2 vs Top Error 3,color-aware (weight),169,0.6153846153846154,0.5621301775147929,5.3254437869822535
Top Error 2 vs Top Error 3,color-aware (late),122,0.6229508196721312,0.5901639344262295,3.2786885245901676
