task_id,n_subjects,mean_chunks_per_subj,mean_chunk_size,median_chunk_size,mean_color_homogeneity,frac_connected_chunks,mean_success_iou_best,n_success_components
00d62c1b,189,9.026,4.111,2.0,0.999,0.897,0.193,23
00dbd492,197,11.533,9.117,5.0,1.0,0.926,0.199,12
0a2355a6,187,14.273,7.539,5.0,1.0,0.928,0.046,4
0a938d79,198,13.126,6.595,6.0,0.999,0.912,0.016,5
0b17323b,191,1.298,2.766,2.0,0.959,0.141,0.438,5
0ca9ddb6,197,3.939,3.97,4.0,0.992,0.21,0.168,17
0d3d703e,197,3.411,2.952,3.0,0.998,0.991,0.21,2
0d87d2a6,184,29.668,7.754,4.0,1.0,0.911,0.015,4
0e671a1a,198,8.732,5.414,4.0,0.999,0.912,0.02,4
12eac192,161,6.453,4.379,3.0,0.998,0.505,0.244,15
1a07d186,188,6.218,4.809,2.0,0.904,0.493,0.01,3
1b60fb0c,192,7.073,3.054,2.0,0.971,0.837,0.068,2
1bfc4729,184,10.908,5.794,3.0,1.0,0.927,0.095,2
1c02dbbe,193,19.161,7.322,2.0,1.0,0.916,0.104,5
1c0d0a4b,185,12.768,6.799,4.0,0.999,0.482,0.189,21
1caeab9d,186,10.151,3.692,4.0,0.999,0.725,0.066,6
1e0a9b12,191,2.016,5.688,5.0,0.671,0.561,0.159,5
1e32b0e9,186,15.301,4.644,4.0,1.0,0.824,0.399,22
1f0c79e5,194,10.985,3.733,3.0,0.998,0.841,0.033,1
1f642eb9,191,2.476,4.715,2.0,0.703,0.514,0.241,15
1f876c06,199,5.678,2.809,2.0,0.992,0.118,0.266,24
21f83797,194,15.773,7.181,4.0,1.0,0.878,0.053,2
23581191,195,13.328,3.77,2.0,0.999,0.85,0.247,8
2546ccf6,193,7.472,3.385,2.0,0.991,0.834,0.142,21
2bcee788,185,9.8,9.756,2.0,0.998,0.929,0.027,1
2bee17df,176,15.614,6.815,4.0,1.0,0.912,0.141,14
2c608aff,191,7.791,6.062,4.0,1.0,0.88,0.144,10
2dd70a9a,196,3.699,5.099,4.0,0.999,0.927,0.171,20
32597951,190,3.1,5.722,3.0,0.996,0.404,0.212,101
3aa6fb7a,196,1.25,3.869,4.0,0.995,0.2,0.214,8
3ac3eb23,192,4.938,5.219,6.0,0.993,0.206,0.132,27
3befdf3e,186,14.048,5.155,4.0,1.0,0.898,0.69,12
3eda0437,187,3.631,5.099,5.0,0.999,0.923,0.167,13
4258a5f9,189,6.222,6.635,8.0,1.0,0.938,0.166,8
42a15761,169,7.207,4.411,2.0,0.913,0.639,0.142,19
4b6b68e5,188,24.011,8.069,2.0,1.0,0.866,0.096,7
5168d44c,191,3.325,4.477,5.0,0.995,0.899,0.008,10
55783887,172,7.959,5.812,3.0,0.998,0.393,0.229,33
5c0a986e,200,3.0,3.21,3.0,0.969,0.183,0.147,8
6455b5f5,185,8.53,11.733,3.0,1.0,0.925,0.105,5
69889d6e,189,5.466,4.281,3.0,0.99,0.845,0.11,3
6a1e5592,190,14.668,5.257,2.0,1.0,0.94,0.044,4
6d58a25d,181,7.713,7.345,4.0,0.998,0.875,0.078,21
6ea4a07e,199,2.196,3.851,4.0,0.997,0.613,0.211,2
73251a56,187,25.471,3.209,2.0,0.999,0.892,0.195,59
73c3b0d8,172,3.064,4.163,3.0,0.853,0.397,0.164,6
7447852a,193,6.497,4.211,4.0,1.0,0.852,0.026,30
74dd1130,173,3.699,3.117,3.0,0.92,0.714,0.328,3
7df24a62,188,8.505,5.611,4.0,1.0,0.906,0.09,28
82819916,183,10.885,3.281,3.0,0.973,0.322,0.21,40
834ec97d,191,9.288,3.559,3.0,0.999,0.853,0.055,7
8cb8642d,174,34.96,5.024,2.0,0.999,0.725,0.131,34
90f3ed37,195,3.749,5.114,5.0,1.0,0.824,0.066,8
93b581b8,193,5.269,2.905,2.0,0.978,0.934,0.239,8
96a8c0cd,184,14.957,5.563,3.0,0.999,0.915,0.052,14
9ddd00f0,178,28.045,5.684,3.0,1.0,0.958,0.15,17
9dfd6313,178,7.23,2.951,2.0,0.9,0.737,0.186,10
a1570a43,178,6.753,3.794,2.0,0.984,0.864,0.078,5
a3df8b1e,204,2.333,5.206,5.0,0.99,0.328,0.163,10
baf41dbf,184,17.266,4.972,3.0,0.999,0.913,0.046,4
bcb3040b,186,4.742,4.899,3.0,0.966,0.312,0.368,56
c0f76784,194,4.057,4.468,4.0,1.0,0.968,0.451,6
c444b776,187,10.374,4.779,3.0,0.919,0.404,0.067,43
c8f0f002,190,1.668,5.312,6.0,0.994,0.42,0.232,6
ca8f78db,190,28.916,3.679,2.0,0.993,0.547,0.291,390
ce9e57f2,200,5.05,3.227,2.0,0.999,0.83,0.01,8
d364b489,190,5.158,4.653,5.0,0.906,0.234,0.192,30
d43fd935,194,3.273,2.838,2.0,0.993,0.833,0.051,10
d511f180,184,2.625,3.135,2.0,0.951,0.741,0.376,9
d5d6de2d,201,6.965,8.46,5.0,1.0,0.943,0.217,2
d9f24cd1,194,6.809,5.094,4.0,1.0,0.935,0.077,6
e69241bd,183,4.372,5.164,5.0,0.997,0.642,0.217,9
e8593010,184,6.576,4.789,3.0,0.997,0.414,0.225,15
ecaa0ec1,176,5.352,3.103,2.0,0.904,0.592,0.314,4
fe9372f3,177,18.305,4.824,2.0,0.996,0.568,0.14,60
