task_id,n_subjects,mean_motor_rate,mean_cognitive_rate,mean_n_wrong,mean_rt_motor,mean_rt_cognitive
1c02dbbe,193,0.001,0.999,101.948,301.688,418.324
d5d6de2d,201,0.003,0.997,24.532,233.627,447.152
6ea4a07e,199,0.005,0.995,4.226,401.5,1125.757
1f0c79e5,194,0.002,0.993,37.314,708.89,1284.66
e69241bd,183,0.007,0.993,22.115,567.123,939.712
c0f76784,194,0.009,0.99,7.433,973.21,1116.448
1f642eb9,191,0.008,0.989,8.88,1256.869,2391.563
00dbd492,197,0.011,0.989,53.147,291.962,520.727
6d58a25d,181,0.011,0.988,50.547,175.408,493.502
0d3d703e,197,0.012,0.986,6.985,871.22,1018.179
1c0d0a4b,185,0.008,0.984,40.714,1285.966,841.59
1f876c06,199,0.008,0.983,12.332,1059.178,1496.807
0e671a1a,198,0.018,0.979,39.167,241.689,839.479
1e0a9b12,191,0.011,0.978,7.56,1377.05,2077.216
d364b489,190,0.011,0.978,19.853,1294.226,1487.376
1caeab9d,186,0.012,0.973,18.613,611.214,1386.883
2dd70a9a,196,0.025,0.973,15.679,419.894,892.279
32597951,190,0.024,0.973,11.632,1451.143,1199.105
0ca9ddb6,197,0.026,0.971,10.36,1013.923,1242.677
74dd1130,173,0.018,0.97,8.364,1978.992,2430.887
93b581b8,193,0.027,0.968,11.394,1188.586,1728.917
1bfc4729,184,0.03,0.968,38.788,204.656,539.468
bcb3040b,186,0.039,0.961,12.769,948.514,1643.923
5c0a986e,200,0.006,0.96,8.665,1428.775,1317.374
21f83797,194,0.039,0.959,79.634,225.944,566.924
00d62c1b,189,0.039,0.956,28.079,317.606,564.536
a1570a43,178,0.019,0.955,12.697,1390.941,1965.437
9dfd6313,178,0.028,0.953,17.382,1621.572,3036.704
4b6b68e5,188,0.013,0.947,132.532,311.007,441.475
7df24a62,188,0.053,0.945,35.144,395.791,1007.329
69889d6e,189,0.053,0.944,15.27,992.124,1445.399
23581191,195,0.058,0.935,44.441,307.906,911.045
2bcee788,185,0.061,0.932,14.832,233.434,1208.787
0d87d2a6,184,0.027,0.93,145.424,220.404,434.187
ca8f78db,190,0.068,0.925,64.411,665.346,1935.631
1b60fb0c,192,0.064,0.924,18.141,1561.463,4106.87
4258a5f9,189,0.077,0.923,22.286,277.06,494.92
baf41dbf,184,0.084,0.908,44.288,522.923,969.928
2c608aff,191,0.079,0.899,25.796,289.681,648.763
2546ccf6,193,0.078,0.899,15.497,1199.879,2024.667
6455b5f5,185,0.024,0.898,52.373,173.007,511.158
2bee17df,176,0.133,0.866,53.511,230.226,814.177
834ec97d,191,0.127,0.864,26.33,392.47,949.027
ecaa0ec1,176,0.157,0.815,6.381,2170.81,4174.753
73c3b0d8,172,0.124,0.793,6.517,1441.432,2717.759
0a2355a6,187,0.039,0.782,97.278,251.416,689.684
3aa6fb7a,196,0.236,0.761,4.449,772.593,1050.023
82819916,183,0.004,0.723,32.208,2342.466,2001.256
3eda0437,187,0.011,0.72,13.316,571.215,1108.688
d43fd935,194,0.288,0.708,7.938,263.906,2381.066
e8593010,184,0.3,0.699,22.185,409.169,1030.016
d511f180,184,0.31,0.689,5.201,530.596,1948.627
fe9372f3,177,0.026,0.651,69.277,395.082,1033.14
12eac192,161,0.396,0.599,19.112,606.268,1687.665
8cb8642d,174,0.055,0.592,100.937,349.684,949.975
1e32b0e9,186,0.434,0.564,22.978,444.273,1958.384
55783887,172,0.242,0.545,16.651,775.789,2226.753
d9f24cd1,194,0.476,0.523,21.835,261.041,707.145
6a1e5592,190,0.003,0.519,57.726,731.717,896.419
73251a56,187,0.426,0.499,16.561,2166.632,6532.833
90f3ed37,195,0.009,0.481,16.303,684.465,986.667
c444b776,187,0.118,0.474,41.952,2375.842,3629.458
1a07d186,188,0.09,0.468,19.644,885.122,3164.092
ce9e57f2,200,0.009,0.441,15.705,455.303,1474.01
96a8c0cd,184,0.033,0.398,76.163,514.138,1004.221
a3df8b1e,204,0.016,0.387,9.799,793.445,697.635
3befdf3e,186,0.185,0.37,7.801,617.465,1112.744
0a938d79,198,0.005,0.362,81.975,194.119,572.065
42a15761,169,0.198,0.29,19.42,1691.721,1723.926
3ac3eb23,192,0.014,0.27,19.417,624.347,3598.414
9ddd00f0,178,0.552,0.27,13.129,988.305,1493.684
c8f0f002,190,0.156,0.193,6.695,322.997,2213.828
0b17323b,191,0.017,0.18,1.131,2326.356,2991.922
7447852a,193,0.001,0.154,26.57,229.583,1377.736
5168d44c,191,0.002,0.035,14.623,872.75,2118.182
