style,performance,n,rho,p_value
size,overall_error_rate,226,-0.1876354292525143,0.004650155399032645
size,te1_rate,226,-0.21928860873479417,0.0009039263596849852
size,te2_rate,226,-0.06412876854137943,0.3372016005526913
size,te3_rate,226,-0.040534691411593465,0.5443552350329857
size,motor_rate,233,-0.11866569458155585,0.07060570789675226
size,cognitive_rate,233,-0.13753733070737656,0.03589573996020483
size,motor_over_wrong,233,-0.06178163850102892,0.34779175605542334
size,cognitive_over_wrong,233,-0.0005587747559036593,0.9932312630075906
color_homogeneity,overall_error_rate,226,-0.07652515553507948,0.25190813617106744
color_homogeneity,te1_rate,226,-0.11412452054927798,0.08694252549835131
color_homogeneity,te2_rate,226,-0.012953198147747275,0.8464439949547861
color_homogeneity,te3_rate,226,-0.10448167540456943,0.11728211977743949
color_homogeneity,motor_rate,233,-0.14832254797675665,0.02354899778034614
color_homogeneity,cognitive_rate,233,0.005733371881527552,0.9306348144121617
color_homogeneity,motor_over_wrong,233,-0.10471626626253003,0.11088813002099308
color_homogeneity,cognitive_over_wrong,233,0.12824784939262054,0.05056283877945037
is_connected,overall_error_rate,226,-0.14172553412156513,0.03320890921071706
is_connected,te1_rate,226,-0.1503478104472678,0.023786844782459186
is_connected,te2_rate,226,-0.01019607704321267,0.8788441269925411
is_connected,te3_rate,226,-0.04781341997841772,0.47447513966273036
is_connected,motor_rate,233,-0.1112816107520203,0.09011860006509036
is_connected,cognitive_rate,233,-0.17209313798036607,0.008477679459890195
is_connected,motor_over_wrong,233,-0.011954370185132334,0.8559746184728205
is_connected,cognitive_over_wrong,233,-0.07114654128861617,0.279459053645949
bbox_area,overall_error_rate,226,-0.1659610558178054,0.012473507988172488
bbox_area,te1_rate,226,-0.12346183482194083,0.06390510254653685
bbox_area,te2_rate,226,-0.18633295569199804,0.004949225629335352
bbox_area,te3_rate,226,-0.09289718217230905,0.16397740641085026
bbox_area,motor_rate,233,0.04049079230788295,0.5385590896587644
bbox_area,cognitive_rate,233,-0.17282836792234454,0.008196965106054294
bbox_area,motor_over_wrong,233,0.07405049751374408,0.260250564373491
bbox_area,cognitive_over_wrong,233,-0.0015473032714412025,0.9812581784668123
fill_ratio,overall_error_rate,226,0.016960654653388398,0.7998208754109454
fill_ratio,te1_rate,226,-0.005207728225338854,0.9379428171796907
fill_ratio,te2_rate,226,0.08192297660123402,0.21989537061722006
fill_ratio,te3_rate,226,0.07274960551740112,0.27613378008080053
fill_ratio,motor_rate,233,-0.06920319535828551,0.29283557913495456
fill_ratio,cognitive_rate,233,-0.00876488959217981,0.894135448871292
fill_ratio,motor_over_wrong,233,-0.03881921066625108,0.5554688875134786
fill_ratio,cognitive_over_wrong,233,-0.0450349684847243,0.49392523225305296
nn_chain_rate,overall_error_rate,226,-0.00959585892183247,0.8859262902643259
nn_chain_rate,te1_rate,226,-0.0075132058335817984,0.9105668893549775
nn_chain_rate,te2_rate,226,0.07844617539010218,0.2401643150243764
nn_chain_rate,te3_rate,226,-0.02377240716585265,0.7222553509814107
nn_chain_rate,motor_rate,233,-0.15871202832013998,0.01530858961000292
nn_chain_rate,cognitive_rate,233,-0.003457952436789199,0.9581305856007696
nn_chain_rate,motor_over_wrong,233,-0.09571322793136208,0.145257901436663
nn_chain_rate,cognitive_over_wrong,233,0.036909491771116756,0.57509753955713
success_iou_best,overall_error_rate,226,-0.21608408402358945,0.001078704823924419
success_iou_best,te1_rate,226,-0.17314838618010744,0.00909964706208085
success_iou_best,te2_rate,226,-0.153290818934209,0.021148122229529605
success_iou_best,te3_rate,226,-0.1784128227947837,0.007169482618674177
success_iou_best,motor_rate,233,-0.05808034691486165,0.3774874049041318
success_iou_best,cognitive_rate,233,-0.2127357004891414,0.0010858411645080475
success_iou_best,motor_over_wrong,233,0.07228689350024033,0.27180489972777827
success_iou_best,cognitive_over_wrong,233,-0.011152726706966752,0.8655381111577143
n_cells,overall_error_rate,226,-0.20645443686611675,0.0018075035539128826
n_cells,te1_rate,226,-0.2328038539065435,0.0004171090636435042
n_cells,te2_rate,226,-0.08335398664640417,0.21191748397785998
n_cells,te3_rate,226,-0.046414948094331825,0.48750991439129776
n_cells,motor_rate,233,-0.09970102215985219,0.12914840132378766
n_cells,cognitive_rate,233,-0.1288644634434186,0.04945466105901066
n_cells,motor_over_wrong,233,-0.04789195245384835,0.4669044534619142
n_cells,cognitive_over_wrong,233,0.009982050902577764,0.8795389438478785
n_chunks_total,overall_error_rate,226,0.1932169593968592,0.0035442516342377335
n_chunks_total,te1_rate,226,0.20431003882746948,0.002021532029832977
n_chunks_total,te2_rate,226,0.10670877884268523,0.10962952326349078
n_chunks_total,te3_rate,226,0.028074782409428258,0.6746323354306807
n_chunks_total,motor_rate,233,-0.014689956953369962,0.8235055011166045
n_chunks_total,cognitive_rate,233,-0.03187447347872466,0.6283510441994966
n_chunks_total,motor_over_wrong,233,0.027054679995880047,0.6812001406275137
n_chunks_total,cognitive_over_wrong,233,-0.1487404277452441,0.02315545043403422
