feature,n_iter,mean_rho,ci95_lo,ci95_hi,sd_rho
size,50,0.506098065751004,0.4478170311509811,0.5492499943078972,0.028329083892866952
n_cells,50,0.49149592255704433,0.4185429971956907,0.5455138166308064,0.03581771728876614
n_chunks_total,50,0.41971799657062187,0.3556153453560826,0.4816190889412628,0.03544172670676037
is_connected,50,0.20040013686142452,0.134727471605894,0.30539049248073225,0.04359682138327049
fill_ratio,50,0.12460789001339542,0.043763542461189346,0.23934205932688984,0.051695979064950194
bbox_area,50,0.08384987268663456,0.004971363979614686,0.17624237258227932,0.041453808438954576
nn_chain_rate,50,0.049607927960747256,-0.03996868869130968,0.1361747598881312,0.04912040889142386
color_homogeneity,50,-0.16001099490450862,-0.23299104052871789,-0.0819789615091637,0.04531184902678578
success_iou_best,50,-0.20348722881873688,-0.25966976791399615,-0.13842631857560825,0.03425394361920676
