predictor,strategy_usage,spearman_rho,p_value,n
grid_h,usage_col_first,0.12676384431049711,0.2784768200840898,75
grid_h,usage_color_first,-0.12229373884914828,0.29591399566356386,75
grid_h,usage_object_first,0.198883979855211,0.0871566840911048,75
grid_h,usage_random_k3,-0.22690817889137146,0.05026591014888685,75
grid_h,usage_row_first,0.10571958968111199,0.36667766355280407,75
grid_w,usage_col_first,0.25786831988760434,0.025508229966656693,75
grid_w,usage_color_first,-0.16983748217617925,0.14518871770574768,75
grid_w,usage_object_first,0.1017561210778349,0.38501641488403426,75
grid_w,usage_random_k3,-0.16252894037271745,0.16356429912583395,75
grid_w,usage_row_first,-0.019060751657714047,0.8710592653957692,75
n_cells_nonbg,usage_col_first,0.16281232483178115,0.1628212410061124,75
n_cells_nonbg,usage_color_first,-0.0662646550391469,0.5721747809891831,75
n_cells_nonbg,usage_object_first,0.26334402561933873,0.022443571194264305,75
n_cells_nonbg,usage_random_k3,-0.3110496152473429,0.006602436387813831,75
n_cells_nonbg,usage_row_first,0.011908977503181102,0.9192280984038288,75
frac_nonbg,usage_col_first,-0.07938134753424078,0.4984151301810199,75
frac_nonbg,usage_color_first,0.15881650162976194,0.17353092585448662,75
frac_nonbg,usage_object_first,0.23617342611600764,0.04135788407915224,75
frac_nonbg,usage_random_k3,-0.20177117059387786,0.0825738586479789,75
frac_nonbg,usage_row_first,-0.15926998054668204,0.1722902056893536,75
n_colors_output,usage_col_first,-0.19759223318248678,0.08927109186123809,75
n_colors_output,usage_color_first,0.47961542926666473,1.3382713593913809e-05,75
n_colors_output,usage_object_first,0.16265303278532314,0.16323861082391092,75
n_colors_output,usage_random_k3,-0.11449806184291832,0.32800046978625663,75
n_colors_output,usage_row_first,0.020659709897885375,0.8603473812713982,75
n_colors_input,usage_col_first,0.010253018641250018,0.9304293634973562,75
n_colors_input,usage_color_first,0.15712111218535016,0.1782274391410928,75
n_colors_input,usage_object_first,-0.04378249131312065,0.709164848332454,75
n_colors_input,usage_random_k3,0.029868602576648813,0.7992005899691997,75
n_colors_input,usage_row_first,0.012425674101475397,0.9157361576770726,75
n_new_colors,usage_col_first,-0.21563619074445387,0.06316582780557144,75
n_new_colors,usage_color_first,0.2543361993028086,0.02766758007811831,75
n_new_colors,usage_object_first,0.12658089425508637,0.2791767487149912,75
n_new_colors,usage_random_k3,-0.13451741888585073,0.2498857005597419,75
n_new_colors,usage_row_first,0.02999295156422801,0.7983822410281058,75
n_success_cc,usage_col_first,-0.1317660189711339,0.2597921527563389,75
n_success_cc,usage_color_first,0.11351536892639236,0.33219641127367994,75
n_success_cc,usage_object_first,0.3883849282878885,0.0005747759823261157,75
n_success_cc,usage_random_k3,0.3714161346633558,0.0010353740293270273,75
n_success_cc,usage_row_first,-0.2659734925028093,0.021087030077062214,75
mean_cc_area,usage_col_first,0.2493663363889465,0.030965781168425306,75
mean_cc_area,usage_color_first,-0.14171900457241152,0.2251905997285574,75
mean_cc_area,usage_object_first,-0.11487495902982413,0.3264001529596986,75
mean_cc_area,usage_random_k3,-0.5763022926756467,6.288720229391125e-08,75
mean_cc_area,usage_row_first,0.24955077337202158,0.03083772828449502,75
max_cc_area,usage_col_first,0.2532956493539162,0.028332415489369576,75
max_cc_area,usage_color_first,-0.13195733930100986,0.259094809790984,75
max_cc_area,usage_object_first,0.006186610987990326,0.9579882885967602,75
max_cc_area,usage_random_k3,-0.46570252278331026,2.5500456590350902e-05,75
max_cc_area,usage_row_first,0.19726820811687173,0.0898077715917888,75
input_out_size_ratio,usage_col_first,,,75
input_out_size_ratio,usage_color_first,,,75
input_out_size_ratio,usage_object_first,,,75
input_out_size_ratio,usage_random_k3,,,75
input_out_size_ratio,usage_row_first,,,75
symmetry_h,usage_col_first,0.2955736751224596,0.010037064571289618,75
symmetry_h,usage_color_first,-0.29459990877251874,0.010297681114541487,75
symmetry_h,usage_object_first,0.006252273500869355,0.9575428012836124,75
symmetry_h,usage_random_k3,-0.10144213978083921,0.3864922778221169,75
symmetry_h,usage_row_first,-0.10458443186124732,0.3718746394122242,75
symmetry_v,usage_col_first,0.12970345221737545,0.26739081183582114,75
symmetry_v,usage_color_first,-0.12169294532229817,0.29831098803625733,75
symmetry_v,usage_object_first,0.034120563429767034,0.7713463273049947,75
symmetry_v,usage_random_k3,0.060261501388169665,0.6075445550494618,75
symmetry_v,usage_row_first,-0.09293071574991765,0.4277752801981126,75
used_copy_mean,usage_col_first,0.1289056191562747,0.27036982544433064,75
used_copy_mean,usage_color_first,-0.05347963050886261,0.6486096517706845,75
used_copy_mean,usage_object_first,0.11384366319709445,0.3307908859798584,75
used_copy_mean,usage_random_k3,-0.0508475782071582,0.6648424273499005,75
used_copy_mean,usage_row_first,-0.011422002905250615,0.9225205699287334,75
n_showex_mean,usage_col_first,-0.07072372319066679,0.5465393546612909,75
n_showex_mean,usage_color_first,0.23833577707842368,0.039479289042653326,75
n_showex_mean,usage_object_first,-0.03700499114132267,0.7526113507645006,75
n_showex_mean,usage_random_k3,-0.24949142960900592,0.030878881443381107,75
n_showex_mean,usage_row_first,0.10656215038191007,0.3628490796253502,75
n_reset_mean,usage_col_first,0.34299797619801364,0.002590933417191604,75
n_reset_mean,usage_color_first,-0.12929234667573405,0.2689230596455842,75
n_reset_mean,usage_object_first,-0.1874218954470529,0.10736227636179498,75
n_reset_mean,usage_random_k3,-0.06664295626080666,0.5699783583209177,75
n_reset_mean,usage_row_first,0.030290171313805354,0.7964270983749108,75
n_edits_mean,usage_col_first,0.20950046354682778,0.07124232474105369,75
n_edits_mean,usage_color_first,-0.12293202841284953,0.2933812751864105,75
n_edits_mean,usage_object_first,0.006757689769826867,0.9541142494606089,75
n_edits_mean,usage_random_k3,-0.3368376137690753,0.0031269355202219193,75
n_edits_mean,usage_row_first,0.13988158331822564,0.23132267720062485,75
n_afforded,usage_col_first,-0.07088228764891143,0.5456381219012935,75
n_afforded,usage_color_first,0.23014517938457543,0.04698992302417678,75
n_afforded,usage_object_first,-0.010418045831679254,0.9293124419503083,75
n_afforded,usage_random_k3,-0.16225349379526224,0.16428893937144493,75
n_afforded,usage_row_first,0.08486707519778464,0.4691065830184291,75
